yr,cluster_id,full_name,country,field,indicator,value
2006,21435142,"robinson, pm",United Kingdom,Economics,cum_cit,2123
2007,21435142,"robinson, pm",United Kingdom,Economics,cum_cit,2421
2008,21435142,"robinson, pm",United Kingdom,Economics,cum_cit,2725
2009,21435142,"robinson, pm",United Kingdom,Economics,cum_cit,3041
2010,21435142,"robinson, pm",United Kingdom,Economics,cum_cit,3343
2011,21435142,"robinson, pm",United Kingdom,Economics,cum_cit,3593
2012,21435142,"robinson, pm",United Kingdom,Economics,cum_cit,3871
2013,21435142,"robinson, pm",United Kingdom,Economics,cum_cit,4130
2014,21435142,"robinson, pm",United Kingdom,Economics,cum_cit,4410
2015,21435142,"robinson, pm",United Kingdom,Economics,cum_cit,4692
2016,21435142,"robinson, pm",United Kingdom,Economics,cum_cit,4943
2017,21435142,"robinson, pm",United Kingdom,Economics,cum_cit,5221
2018,21435142,"robinson, pm",United Kingdom,Economics,cum_cit,5518
2019,21435142,"robinson, pm",United Kingdom,Economics,cum_cit,5775
1980,22448923,"jorgensen, p",Denmark,Physics,cum_cit,6
1981,22448923,"jorgensen, p",Denmark,Physics,cum_cit,30
1982,22448923,"jorgensen, p",Denmark,Physics,cum_cit,81
1983,22448923,"jorgensen, p",Denmark,Physics,cum_cit,152
1984,22448923,"jorgensen, p",Denmark,Physics,cum_cit,225
1985,22448923,"jorgensen, p",Denmark,Physics,cum_cit,304
1986,22448923,"jorgensen, p",Denmark,Physics,cum_cit,426
1987,22448923,"jorgensen, p",Denmark,Physics,cum_cit,523
1988,22448923,"jorgensen, p",Denmark,Physics,cum_cit,665
1989,22448923,"jorgensen, p",Denmark,Physics,cum_cit,802
1990,22448923,"jorgensen, p",Denmark,Physics,cum_cit,934
1991,22448923,"jorgensen, p",Denmark,Physics,cum_cit,1134
1992,22448923,"jorgensen, p",Denmark,Physics,cum_cit,1345
1993,22448923,"jorgensen, p",Denmark,Physics,cum_cit,1665
1994,22448923,"jorgensen, p",Denmark,Physics,cum_cit,2123
1995,22448923,"jorgensen, p",Denmark,Physics,cum_cit,2585
1996,22448923,"jorgensen, p",Denmark,Physics,cum_cit,3105
1997,22448923,"jorgensen, p",Denmark,Physics,cum_cit,3593
1998,22448923,"jorgensen, p",Denmark,Physics,cum_cit,4339
1999,22448923,"jorgensen, p",Denmark,Physics,cum_cit,5110
2000,22448923,"jorgensen, p",Denmark,Physics,cum_cit,5905
2001,22448923,"jorgensen, p",Denmark,Physics,cum_cit,6527
2002,22448923,"jorgensen, p",Denmark,Physics,cum_cit,7185
2003,22448923,"jorgensen, p",Denmark,Physics,cum_cit,7910
2004,22448923,"jorgensen, p",Denmark,Physics,cum_cit,8708
2005,22448923,"jorgensen, p",Denmark,Physics,cum_cit,9623
2006,22448923,"jorgensen, p",Denmark,Physics,cum_cit,10550
2007,22448923,"jorgensen, p",Denmark,Physics,cum_cit,11449
2008,22448923,"jorgensen, p",Denmark,Physics,cum_cit,12466
2009,22448923,"jorgensen, p",Denmark,Physics,cum_cit,13419
2010,22448923,"jorgensen, p",Denmark,Physics,cum_cit,14224
2011,22448923,"jorgensen, p",Denmark,Physics,cum_cit,15250
2012,22448923,"jorgensen, p",Denmark,Physics,cum_cit,16367
2013,22448923,"jorgensen, p",Denmark,Physics,cum_cit,17449
2014,22448923,"jorgensen, p",Denmark,Physics,cum_cit,18635
2015,22448923,"jorgensen, p",Denmark,Physics,cum_cit,19869
2016,22448923,"jorgensen, p",Denmark,Physics,cum_cit,21063
2017,22448923,"jorgensen, p",Denmark,Physics,cum_cit,22312
2018,22448923,"jorgensen, p",Denmark,Physics,cum_cit,23345
2019,22448923,"jorgensen, p",Denmark,Physics,cum_cit,24575
1980,24237320,"terasvirta, t",Denmark,Economics,cum_cit,0
1981,24237320,"terasvirta, t",Denmark,Economics,cum_cit,0
1982,24237320,"terasvirta, t",Denmark,Economics,cum_cit,2
1983,24237320,"terasvirta, t",Denmark,Economics,cum_cit,6
1984,24237320,"terasvirta, t",Denmark,Economics,cum_cit,6
1985,24237320,"terasvirta, t",Denmark,Economics,cum_cit,7
1986,24237320,"terasvirta, t",Denmark,Economics,cum_cit,12
1987,24237320,"terasvirta, t",Denmark,Economics,cum_cit,16
1988,24237320,"terasvirta, t",Denmark,Economics,cum_cit,21
1989,24237320,"terasvirta, t",Denmark,Economics,cum_cit,23
1990,24237320,"terasvirta, t",Denmark,Economics,cum_cit,28
1991,24237320,"terasvirta, t",Denmark,Economics,cum_cit,38
1992,24237320,"terasvirta, t",Denmark,Economics,cum_cit,45
1993,24237320,"terasvirta, t",Denmark,Economics,cum_cit,57
1994,24237320,"terasvirta, t",Denmark,Economics,cum_cit,79
1995,24237320,"terasvirta, t",Denmark,Economics,cum_cit,92
1996,24237320,"terasvirta, t",Denmark,Economics,cum_cit,114
1997,24237320,"terasvirta, t",Denmark,Economics,cum_cit,141
1998,24237320,"terasvirta, t",Denmark,Economics,cum_cit,175
1999,24237320,"terasvirta, t",Denmark,Economics,cum_cit,235
2000,24237320,"terasvirta, t",Denmark,Economics,cum_cit,291
2001,24237320,"terasvirta, t",Denmark,Economics,cum_cit,400
2002,24237320,"terasvirta, t",Denmark,Economics,cum_cit,497
2003,24237320,"terasvirta, t",Denmark,Economics,cum_cit,589
2004,24237320,"terasvirta, t",Denmark,Economics,cum_cit,694
2005,24237320,"terasvirta, t",Denmark,Economics,cum_cit,812
2006,24237320,"terasvirta, t",Denmark,Economics,cum_cit,953
2007,24237320,"terasvirta, t",Denmark,Economics,cum_cit,1075
2008,24237320,"terasvirta, t",Denmark,Economics,cum_cit,1265
2009,24237320,"terasvirta, t",Denmark,Economics,cum_cit,1435
2010,24237320,"terasvirta, t",Denmark,Economics,cum_cit,1648
2011,24237320,"terasvirta, t",Denmark,Economics,cum_cit,1827
2012,24237320,"terasvirta, t",Denmark,Economics,cum_cit,2038
2013,24237320,"terasvirta, t",Denmark,Economics,cum_cit,2238
2014,24237320,"terasvirta, t",Denmark,Economics,cum_cit,2409
2015,24237320,"terasvirta, t",Denmark,Economics,cum_cit,2603
2016,24237320,"terasvirta, t",Denmark,Economics,cum_cit,2841
2017,24237320,"terasvirta, t",Denmark,Economics,cum_cit,3025
2018,24237320,"terasvirta, t",Denmark,Economics,cum_cit,3216
2019,24237320,"terasvirta, t",Denmark,Economics,cum_cit,3432
1980,24816239,"blundell, r",United Kingdom,Economics,cum_cit,0
1981,24816239,"blundell, r",United Kingdom,Economics,cum_cit,0
1982,24816239,"blundell, r",United Kingdom,Economics,cum_cit,2
1983,24816239,"blundell, r",United Kingdom,Economics,cum_cit,13
1984,24816239,"blundell, r",United Kingdom,Economics,cum_cit,24
1985,24816239,"blundell, r",United Kingdom,Economics,cum_cit,39
1986,24816239,"blundell, r",United Kingdom,Economics,cum_cit,62
1987,24816239,"blundell, r",United Kingdom,Economics,cum_cit,81
1988,24816239,"blundell, r",United Kingdom,Economics,cum_cit,106
1989,24816239,"blundell, r",United Kingdom,Economics,cum_cit,132
1990,24816239,"blundell, r",United Kingdom,Economics,cum_cit,172
1991,24816239,"blundell, r",United Kingdom,Economics,cum_cit,218
1992,24816239,"blundell, r",United Kingdom,Economics,cum_cit,262
